instance,vertices,edges,partitions,runs,best,avg,std,total_time_s
ring_n10p0.1s1,8,11,4,10,2,2.00,0.00,0.027
ring_n10p0.1s3,16,44,8,10,2,2.00,0.00,0.106
ring_n10p0.1s5,20,69,10,10,3,3.00,0.00,0.178
ring_n10p0.1s2,16,45,8,10,2,2.00,0.00,0.246
ring_n10p0.2s1,26,124,13,10,3,3.40,0.52,0.361
ring_n10p0.1s4,28,149,14,10,3,3.40,0.52,0.507
ring_n10p0.2s2,36,230,18,10,3,3.00,0.00,0.819
ring_n10p0.3s1,38,270,19,10,4,4.20,0.42,0.850
ring_n10p0.2s3,30,168,15,10,4,4.00,0.00,0.905
ring_n10p0.3s3,42,330,21,10,4,4.40,0.52,1.171
ring_n10p0.2s5,44,355,22,10,5,5.00,0.00,1.440
ring_n10p0.2s4,42,337,21,10,4,4.10,0.32,1.537
ring_n10p0.3s4,52,519,26,10,5,5.10,0.32,1.956
ring_n10p0.3s2,54,540,27,10,5,5.00,0.00,2.023
ring_n10p0.3s5,62,727,31,10,6,6.10,0.32,3.336
ring_n10p0.4s1,56,593,28,10,5,5.20,0.42,3.658
ring_n10p0.4s3,60,688,30,10,5,5.60,0.52,5.408
ring_n10p0.4s4,68,888,34,10,6,6.20,0.42,6.136
ring_n10p0.5s4,76,1114,38,10,7,7.00,0.00,7.219
ring_n10p0.4s2,72,979,36,10,6,6.30,0.48,7.505
ring_n10p0.5s1,76,1099,38,10,7,7.00,0.00,8.059
ring_n10p0.4s5,82,1283,41,10,7,7.50,0.53,9.090
ring_n10p0.5s3,78,1179,39,10,7,7.10,0.32,10.231
ring_n10p0.6s1,98,1837,49,10,8,8.20,0.42,13.263
ring_n10p0.5s5,92,1621,46,10,8,8.40,0.52,13.717
ring_n10p0.5s2,94,1700,47,10,8,8.80,0.63,15.106
ring_n10p0.6s5,102,2002,51,10,9,9.00,0.00,16.218
ring_n15p0.1s1,30,164,15,10,4,4.00,0.00,0.836
ring_n10p0.6s2,106,2170,53,10,9,9.20,0.42,17.407
ring_n15p0.1s2,38,268,19,10,4,4.00,0.00,1.140
ring_n10p0.6s3,102,2027,51,10,10,10.00,0.00,19.011
ring_n10p0.6s4,104,2084,52,10,8,8.90,0.32,19.476
ring_n15p0.1s3,52,543,26,10,6,6.80,0.42,3.210
ring_n15p0.1s5,54,557,27,10,6,6.00,0.00,2.840
ring_n15p0.1s4,62,757,31,10,8,8.00,0.00,4.402
ring_n10p0.7s5,114,2510,57,10,9,9.20,0.42,21.788
ring_n15p0.2s1,74,1081,37,10,7,7.70,0.48,7.028
ring_n10p0.7s1,122,2865,61,10,10,10.10,0.32,29.427
ring_n10p0.7s4,132,3388,66,10,11,11.20,0.42,35.746
ring_n15p0.2s2,100,1954,50,10,8,9.10,0.57,16.407
ring_n15p0.2s4,94,1764,47,10,9,9.30,0.48,14.396
ring_n10p0.7s3,130,3288,65,10,10,11.00,0.47,36.819
ring_n15p0.2s3,90,1620,45,10,9,9.80,0.42,15.682
ring_n15p0.2s5,106,2198,53,10,10,10.10,0.32,18.630
ring_n10p0.7s2,138,3719,69,10,12,12.10,0.32,41.396
ring_n10p0.8s1,146,4148,73,10,11,11.90,0.57,45.199
ring_n10p0.8s5,138,3716,69,10,11,11.60,0.52,43.849
ring_n10p0.8s3,144,4043,72,10,12,12.40,0.52,47.143
ring_n10p0.8s4,146,4160,73,10,12,12.70,0.48,48.603
ring_n15p0.3s1,116,2681,58,10,11,11.20,0.42,25.334
ring_n10p0.8s2,152,4529,76,10,12,13.20,0.63,61.928
ring_n15p0.3s3,130,3365,65,10,13,13.10,0.32,35.417
ring_n10p0.9s1,162,5144,81,10,13,13.30,0.67,67.763
ring_n10p0.9s2,164,5278,82,10,13,13.50,0.53,67.084
ring_n10p0.9s4,164,5255,82,10,13,13.10,0.32,66.917
ring_n10p0.9s3,166,5396,83,10,13,14.10,0.57,67.377
ring_n10p0.9s5,166,5414,83,10,13,13.60,0.52,72.128
ring_n15p0.3s2,146,4251,73,10,13,13.40,0.52,51.420
ring_n15p0.3s4,140,3900,70,10,12,12.70,0.67,47.635
ring_n15p0.3s5,150,4450,75,10,12,12.80,0.42,55.080
ring_n10p1.0s3,180,6360,90,10,14,14.40,0.52,87.214
ring_n10p1.0s5,180,6360,90,10,14,14.40,0.52,88.827
ring_n10p1.0s4,180,6360,90,10,14,14.40,0.52,91.728
ring_n10p1.0s2,180,6360,90,10,14,14.40,0.52,95.846
ring_n10p1.0s1,180,6360,90,10,14,14.40,0.52,97.141
ring_n15p0.4s3,164,5402,82,10,15,15.90,0.32,68.644
ring_n15p0.4s1,162,5262,81,10,15,15.80,0.42,75.423
ring_n15p0.4s4,180,6459,90,10,15,15.60,0.52,96.461
ring_n15p0.4s2,188,7005,94,10,15,15.60,0.52,105.565
