instance,vertices,edges,partitions,status,colors,runtime_s,gap
n20p5t2s4,20,94,10,optimal,3,0.090,0.0000
n20p5t2s3,20,96,10,optimal,3,0.089,0.0000
n20p5t2s5,20,102,10,optimal,3,0.098,0.0000
n20p5t2s2,20,100,10,optimal,3,0.099,0.0000
n20p5t2s1,20,98,10,optimal,3,0.105,0.0000
n40p5t2s3,40,387,20,optimal,4,2.144,0.0000
n40p5t2s1,40,402,20,optimal,4,2.398,0.0000
n40p5t2s2,40,398,20,optimal,4,2.439,0.0000
n40p5t2s4,40,397,20,optimal,4,3.114,0.0000
n40p5t2s5,40,420,20,optimal,4,4.333,0.0000
n60p5t2s3,60,881,30,optimal,5,81.280,0.0000
n60p5t2s1,60,909,30,optimal,5,82.195,0.0000
n90p1t2s1,90,404,45,optimal,3,6.759,0.0000
n90p1t2s2,90,402,45,optimal,3,8.528,0.0000
n60p5t2s2,60,872,30,optimal,5,99.041,0.0000
n90p1t2s3,90,427,45,optimal,3,6.613,0.0000
n90p1t2s4,90,391,45,optimal,2,7.119,0.0000
n60p5t2s4,60,884,30,optimal,5,107.810,0.0000
n90p1t2s5,90,444,45,optimal,3,5.672,0.0000
n60p5t2s5,60,907,30,optimal,5,114.177,0.0000
n90p2t2s2,90,801,45,optimal,3,8.110,0.0000
n90p2t2s5,90,827,45,optimal,4,85.110,0.0000
n90p2t2s3,90,838,45,optimal,4,165.416,0.0000
n70p5t2s2,70,1189,35,feasible,6,300.523,0.3333
n70p5t2s1,70,1241,35,feasible,6,300.530,0.3333
n70p5t2s3,70,1200,35,feasible,6,300.516,0.3333
n70p5t2s4,70,1194,35,feasible,6,300.547,0.3333
n100p5t2s2,100,2428,50,feasible,9,301.516,0.6667
n100p5t2s5,100,2500,50,feasible,9,301.526,0.6667
n100p5t2s4,100,2442,50,feasible,8,301.543,0.6250
n100p5t2s1,100,2494,50,feasible,9,301.521,0.6667
n100p5t2s3,100,2513,50,feasible,9,301.644,0.5556
n70p5t2s5,70,1228,35,feasible,6,300.525,0.3333
n120p5t2s2,120,3544,60,feasible,11,302.725,0.6364
n120p5t2s5,120,3623,60,feasible,11,302.603,0.7273
n120p5t2s4,120,3536,60,feasible,11,302.585,0.7273
n120p5t2s1,120,3593,60,feasible,11,302.636,0.7273
n120p5t2s3,120,3613,60,feasible,12,302.822,0.7500
n80p5t2s1,80,1592,40,feasible,7,300.767,0.4286
n80p5t2s2,80,1547,40,feasible,7,300.758,0.4286
n80p5t2s3,80,1589,40,feasible,7,300.693,0.4286
n80p5t2s4,80,1580,40,feasible,7,300.743,0.4286
n90p2t2s4,90,777,45,optimal,4,208.062,0.0000
n90p2t2s1,90,786,45,optimal,4,234.209,0.0000
n80p5t2s5,80,1616,40,feasible,7,300.796,0.4286
n90p3t2s1,90,1183,45,feasible,5,300.642,0.4000
n90p3t2s2,90,1202,45,feasible,5,300.636,0.4000
n90p3t2s4,90,1171,45,feasible,5,300.627,0.4000
n90p3t2s3,90,1246,45,feasible,5,300.643,0.4000
n90p3t2s5,90,1236,45,feasible,5,300.637,0.3867
