instance,vertices,edges,partitions,status,colors,runtime_s,gap
ring_n10p0.1s1,8,11,4,optimal,2,0.056,0.0000
ring_n10p0.1s2,16,45,8,optimal,2,0.026,0.0000
ring_n10p0.1s3,16,44,8,optimal,2,0.025,0.0000
ring_n10p0.1s4,28,149,14,optimal,3,0.132,0.0000
ring_n10p0.1s5,20,69,10,optimal,3,0.044,0.0000
ring_n10p0.2s1,26,124,13,optimal,3,0.097,0.0000
ring_n10p0.2s2,36,230,18,optimal,3,0.316,0.0000
ring_n10p0.2s3,30,168,15,optimal,4,0.200,0.0000
ring_n10p0.2s4,42,337,21,optimal,4,0.813,0.0000
ring_n10p0.2s5,44,355,22,optimal,5,1.021,0.0000
ring_n10p0.3s1,38,270,19,optimal,4,0.390,0.0000
ring_n10p0.3s2,54,540,27,optimal,5,2.067,0.0000
ring_n10p0.3s3,42,330,21,optimal,4,0.894,0.0000
ring_n10p0.3s4,52,519,26,optimal,5,1.765,0.0000
ring_n10p0.3s5,62,727,31,optimal,6,3.573,0.0000
ring_n10p0.4s1,56,593,28,optimal,5,2.256,0.0000
ring_n10p0.4s2,72,979,36,optimal,6,6.012,0.0000
ring_n10p0.4s3,60,688,30,optimal,5,3.710,0.0000
ring_n10p0.4s4,68,888,34,optimal,6,5.306,0.0000
ring_n10p0.4s5,82,1283,41,optimal,7,10.998,0.0000
ring_n10p0.5s1,76,1099,38,optimal,7,7.294,0.0000
ring_n10p0.5s2,94,1700,47,optimal,8,20.127,0.0000
ring_n10p0.5s3,78,1179,39,optimal,7,8.780,0.0000
ring_n10p0.5s4,76,1114,38,optimal,7,8.758,0.0000
ring_n10p0.5s5,92,1621,46,optimal,8,16.124,0.0000
ring_n10p0.6s1,98,1837,49,optimal,8,28.484,0.0000
ring_n10p0.6s2,106,2170,53,optimal,9,36.180,0.0000
ring_n10p0.6s3,102,2027,51,optimal,10,32.973,0.0000
ring_n10p0.6s4,104,2084,52,optimal,8,46.751,0.0000
ring_n10p0.6s5,102,2002,51,optimal,9,38.031,0.0000
ring_n10p0.7s1,122,2865,61,optimal,9,70.593,0.0000
ring_n10p0.7s2,138,3719,69,feasible,36,302.035,0.9588
ring_n10p0.7s3,130,3288,65,optimal,10,172.932,0.0000
ring_n10p0.7s4,132,3388,66,optimal,11,143.255,0.0000
ring_n10p0.7s5,114,2510,57,optimal,9,63.601,0.0000
ring_n10p0.8s1,146,4148,73,feasible,36,301.833,0.9595
ring_n10p0.8s2,152,4529,76,feasible,37,302.586,0.9604
ring_n10p0.8s3,144,4043,72,feasible,35,301.461,0.9580
ring_n10p0.8s4,146,4160,73,feasible,38,301.576,0.9539
ring_n10p0.8s5,138,3716,69,feasible,37,301.591,0.9666
nsf_p0.1_s1,16,16,12,optimal,2,0.021,0.0000
nsf_p0.1_s2,22,27,16,optimal,2,0.075,0.0000
nsf_p0.1_s3,29,40,23,optimal,3,0.166,0.0000
nsf_p0.1_s4,38,67,30,optimal,3,0.336,0.0000
nsf_p0.1_s5,27,30,20,optimal,2,0.119,0.0000
nsf_p0.2_s1,37,69,31,optimal,4,0.296,0.0000
nsf_p0.2_s2,52,128,44,optimal,4,0.760,0.0000
nsf_p0.2_s3,51,130,40,optimal,4,0.721,0.0000
nsf_p0.2_s4,57,176,40,optimal,4,0.833,0.0000
nsf_p0.2_s5,66,242,44,optimal,4,1.511,0.0000
nsf_p0.3_s1,63,220,49,optimal,5,1.720,0.0000
nsf_p0.3_s2,87,452,64,optimal,5,4.629,0.0000
nsf_p0.3_s3,80,366,58,optimal,6,3.229,0.0000
nsf_p0.3_s4,80,397,59,optimal,6,3.236,0.0000
nsf_p0.3_s5,85,363,63,optimal,5,3.119,0.0000
nsf_p0.4_s1,91,527,66,optimal,6,5.419,0.0000
nsf_p0.4_s2,112,739,82,optimal,7,26.350,0.0000
nsf_p0.4_s3,101,606,73,optimal,6,7.833,0.0000
