instance,vertices,edges,partitions,runs,best,avg,std,total_time_s
ring_n10p0.1s1,8,11,4,10,2,2.00,0.00,0.003
ring_n10p0.1s2,16,45,8,10,2,2.00,0.00,0.005
ring_n10p0.1s3,16,44,8,10,2,2.00,0.00,0.006
ring_n10p0.1s5,20,69,10,10,3,3.00,0.00,0.021
ring_n10p0.2s1,26,124,13,10,3,3.00,0.00,0.038
ring_n10p0.1s4,28,149,14,10,4,4.00,0.00,0.075
ring_n10p0.2s3,30,168,15,10,4,4.00,0.00,0.104
ring_n10p0.2s2,36,230,18,10,3,3.90,0.32,0.115
ring_n10p0.3s1,38,270,19,10,4,4.50,0.53,0.186
ring_n10p0.2s4,42,337,21,10,4,4.50,0.53,0.246
ring_n10p0.3s3,42,330,21,10,5,5.00,0.00,0.246
ring_n10p0.2s5,44,355,22,10,6,6.00,0.00,0.365
ring_n10p0.3s4,52,519,26,10,5,5.40,0.52,0.535
ring_n10p0.4s1,56,593,28,10,5,5.80,0.42,0.606
ring_n10p0.3s2,54,540,27,10,5,5.90,0.57,0.717
ring_n10p0.4s3,60,688,30,10,6,6.00,0.00,1.019
ring_n10p0.3s5,62,727,31,10,6,6.90,0.32,1.051
ring_n10p0.4s4,68,888,34,10,6,7.20,0.92,1.419
ring_n10p0.4s2,72,979,36,10,6,6.20,0.42,1.490
ring_n10p0.5s4,76,1114,38,10,7,7.00,0.00,1.704
ring_n10p0.5s1,76,1099,38,10,7,7.10,0.32,2.118
ring_n10p0.5s3,78,1179,39,10,7,7.70,0.48,2.440
ring_n10p0.4s5,82,1283,41,10,7,7.80,0.63,3.053
ring_n10p0.5s5,92,1621,46,10,8,8.40,0.84,5.303
ring_n10p0.5s2,94,1700,47,10,8,9.10,0.99,5.442
ring_n10p0.6s1,98,1837,49,10,8,8.50,0.53,5.589
ring_n10p0.6s4,104,2084,52,10,8,8.20,0.42,5.989
ring_n15p0.1s1,30,164,15,10,5,5.00,0.00,0.131
ring_n15p0.1s2,38,268,19,10,4,4.50,0.53,0.169
ring_n10p0.6s5,102,2002,51,10,9,10.00,0.94,6.755
ring_n15p0.1s3,52,543,26,10,7,7.20,0.42,0.914
ring_n10p0.6s2,106,2170,53,10,9,9.40,0.70,7.991
ring_n15p0.1s5,54,557,27,10,7,7.00,0.00,0.792
ring_n15p0.1s4,62,757,31,10,8,8.00,0.00,1.370
ring_n10p0.7s1,122,2865,61,10,10,10.00,0.00,8.643
ring_n10p0.6s3,102,2027,51,10,10,10.90,0.99,8.958
ring_n10p0.7s5,114,2510,57,10,9,9.40,0.52,9.939
ring_n15p0.2s1,74,1081,37,10,7,8.90,1.20,2.812
ring_n15p0.2s2,100,1954,50,10,9,9.70,0.48,6.107
ring_n15p0.2s3,90,1620,45,10,9,9.30,0.67,6.031
ring_n10p0.7s3,130,3288,65,10,10,10.80,0.63,14.095
ring_n10p0.7s4,132,3388,66,10,11,11.30,0.48,14.698
ring_n15p0.2s4,94,1764,47,10,10,10.90,0.32,6.284
ring_n15p0.2s5,106,2198,53,10,10,10.20,0.42,7.499
ring_n10p0.8s1,146,4148,73,10,11,11.70,0.48,21.588
ring_n10p0.7s2,138,3719,69,10,12,12.30,0.48,22.271
ring_n10p0.8s3,144,4043,72,10,11,11.40,0.52,21.865
ring_n10p0.8s5,138,3716,69,10,11,12.40,1.43,21.982
ring_n15p0.3s1,116,2681,58,10,11,11.80,1.23,14.147
ring_n10p0.8s4,146,4160,73,10,11,11.30,0.48,24.954
ring_n10p0.8s2,152,4529,76,10,12,12.50,0.53,30.353
ring_n10p0.9s4,164,5255,82,10,12,12.10,0.32,30.059
ring_n15p0.3s3,130,3365,65,10,13,13.80,0.42,18.769
ring_n10p0.9s3,166,5396,83,10,13,13.00,0.00,32.369
ring_n10p0.9s1,162,5144,81,10,12,12.20,0.42,33.860
ring_n10p0.9s2,164,5278,82,10,12,12.20,0.42,33.947
ring_n10p0.9s5,166,5414,83,10,13,13.10,0.32,34.805
ring_n15p0.3s4,140,3900,70,10,14,14.90,0.32,25.801
ring_n15p0.3s2,146,4251,73,10,13,14.20,0.79,30.012
ring_n15p0.3s5,150,4450,75,10,12,12.40,0.52,30.526
ring_n10p1.0s2,180,6360,90,10,13,13.10,0.32,46.874
ring_n10p1.0s3,180,6360,90,10,13,13.10,0.32,48.615
ring_n10p1.0s5,180,6360,90,10,13,13.30,0.48,48.754
ring_n10p1.0s4,180,6360,90,10,13,13.40,0.52,50.690
ring_n10p1.0s1,180,6360,90,10,13,13.00,0.00,57.780
ring_n15p0.4s1,162,5262,81,10,16,16.90,0.74,47.955
ring_n15p0.4s3,164,5402,82,10,15,16.40,1.17,68.471
ring_n15p0.4s2,188,7005,94,10,15,19.80,1.75,80.136
ring_n15p0.4s4,180,6459,90,10,14,17.10,2.28,73.754
ring_n15p0.4s5,196,7663,98,10,16,17.20,0.63,108.117
ring_n15p0.5s4,210,8869,105,10,17,17.20,0.42,107.397
ring_n15p0.5s3,208,8724,104,10,19,21.60,0.97,121.605
ring_n15p0.5s1,208,8656,104,10,18,19.40,0.84,140.748
ring_n15p0.5s5,226,10168,113,10,19,20.60,0.84,164.854
ring_n15p0.5s2,226,10167,113,10,18,21.30,2.91,177.849
ring_n15p0.6s1,250,12442,125,10,19,19.20,0.42,207.474
ring_n15p0.6s2,258,13266,129,10,19,20.60,1.58,241.287
ring_n20p0.1s1,56,626,28,10,8,8.90,0.32,1.460
ring_n20p0.1s2,80,1248,40,10,9,9.50,0.53,3.486
ring_n20p0.1s3,90,1590,45,10,8,8.00,0.00,3.799
ring_n20p0.1s4,92,1696,46,10,11,11.00,0.00,5.792
ring_n20p0.1s5,74,1095,37,10,8,8.20,0.42,2.342
ring_n15p0.6s4,260,13594,130,10,20,20.60,0.70,282.774
ring_n15p0.6s5,252,12682,126,10,21,22.30,0.82,283.951
ring_n20p0.2s1,128,3281,64,10,10,11.00,1.49,29.157
ring_n20p0.2s4,152,4651,76,10,14,16.90,1.45,44.245
ring_n20p0.2s3,162,5212,81,10,14,17.00,1.15,47.781
ring_n20p0.2s2,172,5954,86,10,18,19.50,0.85,67.180
ring_n20p0.2s5,162,5368,81,10,17,17.60,0.70,68.563
ring_n15p0.7s1,288,16601,144,10,21,25.20,2.94,413.455
ring_n15p0.6s3,258,13400,129,10,23,24.60,2.07,421.133
ring_n20p0.3s1,218,9509,109,10,18,21.00,1.63,153.501
ring_n15p0.7s4,310,19300,155,10,24,25.40,0.97,480.936
ring_n15p0.7s5,282,15985,141,10,23,23.60,0.70,485.562
ring_n20p0.3s4,222,10058,111,10,23,23.80,0.42,169.422
ring_n20p0.3s3,234,10951,117,10,18,20.00,2.05,204.434
ring_n15p0.7s2,330,21756,165,10,25,25.50,1.58,632.128
ring_n20p0.3s2,246,12308,123,10,24,26.30,1.06,289.505
ring_n15p0.8s1,336,22658,168,10,24,24.70,0.48,623.560
ring_n15p0.7s3,306,18821,153,10,23,23.80,1.23,664.711
ring_n20p0.3s5,240,11802,120,10,22,23.90,1.29,256.870
ring_n15p0.8s5,328,21572,164,10,25,25.20,0.42,774.324
ring_n20p0.4s3,296,17570,148,10,21,21.40,0.52,340.005
ring_n15p0.8s4,344,23812,172,10,25,26.40,2.01,858.405
ring_n15p0.8s2,352,24773,176,10,25,26.70,2.95,972.364
ring_n20p0.4s2,318,20693,159,10,28,28.10,0.32,572.496
ring_n15p0.9s1,370,27469,185,10,27,27.20,0.63,1013.778
ring_n15p0.9s3,380,29067,190,10,28,28.10,0.32,1012.214
ring_n20p0.4s1,306,18772,153,10,24,26.90,1.79,619.093
ring_n20p0.4s4,292,17305,146,10,25,25.10,0.32,567.591
ring_n15p0.9s2,386,29922,193,10,27,27.60,0.52,1119.846
ring_n15p0.9s4,380,29043,190,10,27,27.30,0.48,1121.015
ring_n15p0.8s3,338,22942,169,10,26,28.40,2.91,1245.418
ring_n15p0.9s5,392,30925,196,10,28,28.10,0.32,1231.414
ring_n20p0.4s5,330,22257,165,10,29,29.10,0.32,809.871
ring_n15p1.0s2,420,35490,210,10,29,29.60,0.52,1448.803
ring_n15p1.0s4,420,35490,210,10,29,29.70,0.48,1433.506
ring_n15p1.0s3,420,35490,210,10,29,29.70,0.48,1489.411
ring_n15p1.0s5,420,35490,210,10,29,29.50,0.53,1503.081
ring_n20p0.5s4,358,26018,179,10,28,28.10,0.32,1135.034
